Feature1,Feature2,Feature3,Feature4,Target
4.5878,1018.7,23.979,549.83,134.67
4.2932,1018.3,23.951,550.05,134.67
3.9045,1018.4,23.99,550.19,135.1
3.7436,1018.3,23.911,550.17,135.03
3.7516,1017.8,23.917,550,134.67
3.8858,1017.7,23.903,549.98,134.67
3.6697,1018,23.889,550.04,134.68
3.5892,1018.2,23.876,549.88,134.66
3.7108,1018.5,23.957,549.98,134.65
4.8281,1018.5,23.422,549.8,132.67
6.0334,1018.4,23.989,550.04,135.24
7.9896,1017.9,30.128,534.81,152.6
9.8712,1017.2,32.341,530.58,159.99
10.722,1016.5,32.739,528.93,160.6
11.017,1016.3,32.672,529.06,160.4
10.946,1016.2,32.424,530.67,160.09
10.755,1015.9,32.632,529.35,160.66
10.175,1015.8,32.286,530.67,160.64
9.5069,1015.7,32.218,530.75,160.84
5.388,1014.3,24.064,549.11,134.26
5.4906,1013.9,21.254,549.65,121.95
5.4522,1013.6,23.994,549.71,133.51
5.4774,1013.4,23.013,550.13,129.19
5.3784,1013.1,23.419,550.1,131.08
5.2236,1012.8,22.94,550.09,129.06
5.2513,1012.7,23.796,549.93,132.86
5.2734,1012.5,22.208,550.06,125.76
5.9776,1012.5,23.447,550.02,130.63
6.7676,1012.8,24.205,550.04,133.52
7.571,1013,24.198,549.87,132.98
9.2719,1013.2,24.625,549.87,133.67
11.351,1013.1,24.376,549.85,133.68
12.518,1012.6,24.355,549.71,133.67
13.1,1011.9,24.391,549.63,133.67
13.458,1011.7,24.377,549.83,133.64
13.429,1011.5,22.019,550.12,123.68
12.861,1011.7,22.431,549.7,125.72
12.259,1011.8,32.286,531.41,158.68
12.275,1011.8,31.548,533.5,157.24
12.005,1011.7,32.055,531.87,158.75
11.601,1011.6,32.203,530.83,159.5
11.782,1011.4,32.395,530.46,159.5
12.624,1011.2,28.359,538.27,145.54
12.308,1010.9,23.611,549.7,131.37
11.432,1010.5,24.101,549.94,133.65
11.387,1010.1,24.244,549.83,134.01
11.736,1009.9,24.214,550.31,133.67
11.728,1009.4,24.152,549.91,133.67
11.384,1009.2,24.13,549.87,133.66
11.087,1008.9,24.085,550.08,133.68
10.584,1008.7,23.801,550.16,132.98
10.181,1008.7,24.167,549.72,134.47
10.301,1008.5,24.212,549.17,134.3
10.422,1008.5,32.175,531.59,159.83
10.593,1008.1,32.482,530.58,160.63
10.555,1007.8,32.111,531.44,160.14
10.528,1007.5,32.48,530,161.16
10.254,1007.4,32.061,530.75,161.04
9.8215,1007.7,32.368,529.5,162.15
8.7987,1008.1,32.339,529.7,163.03
7.9529,1008.5,32.451,529.03,163.5
7.4649,1009.6,32.879,527.6,164.58
7.321,1010.1,32.662,528.04,164.28
6.9685,1010.6,33.258,526.15,165.62
6.9214,1011.2,33.053,526.79,165.2
6.9549,1011.9,23.463,549.97,134.12
7.0389,1012.3,23.187,549.94,132.7
